frame_id,file_path,file_base,file_exists,repID,camID,time,rank,score,head_x,head_y,head_score,middle_x,middle_y,middle_score,tail_x,tail_y,tail_score,centroid_x,centroid_y,size_px,x_dim,y_dim
frame457__s164351,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s164351_rank457.jpg,processed_rep67__cam6_s164351_rank457.jpg,FALSE,rep67,cam6,164351,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame458__s164712,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s164712_rank458.jpg,processed_rep67__cam6_s164712_rank458.jpg,FALSE,rep67,cam6,164712,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame459__s165072,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s165072_rank459.jpg,processed_rep67__cam6_s165072_rank459.jpg,FALSE,rep67,cam6,165072,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame460__s165433,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s165433_rank460.jpg,processed_rep67__cam6_s165433_rank460.jpg,FALSE,rep67,cam6,165433,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame461__s165793,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s165793_rank461.jpg,processed_rep67__cam6_s165793_rank461.jpg,FALSE,rep67,cam6,165793,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame462__s166154,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s166154_rank462.jpg,processed_rep67__cam6_s166154_rank462.jpg,FALSE,rep67,cam6,166154,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame463__s166514,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s166514_rank463.jpg,processed_rep67__cam6_s166514_rank463.jpg,FALSE,rep67,cam6,166514,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame464__s166874,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s166874_rank464.jpg,processed_rep67__cam6_s166874_rank464.jpg,FALSE,rep67,cam6,166874,464,0.9343897104263306,494.75054931640625,435.0653381347656,0.5838687419891357,484.93353271484375,427.731201171875,0.010441272519528866,498.43194580078125,404.5063781738281,0.022894129157066345,420.90615384615387,488.41846153846154,650,1000,1000
frame465__s167235,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s167235_rank465.jpg,processed_rep67__cam6_s167235_rank465.jpg,FALSE,rep67,cam6,167235,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame466__s167595,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s167595_rank466.jpg,processed_rep67__cam6_s167595_rank466.jpg,FALSE,rep67,cam6,167595,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame467__s167956,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s167956_rank467.jpg,processed_rep67__cam6_s167956_rank467.jpg,FALSE,rep67,cam6,167956,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
