var,only,cat_size,exclude,val
var_high,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.3539125661194157
beta_numeric_scale,var_toxic_12_scale,2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,2,ava_mean_toxin_scale,-1.038849235193853
var_high,NA,2,ava_mean_toxin_scale,-1.168295558925252
beta_numeric_scale,sl_mean_obs_log_scale,-2,NA,-0.17469382207022657
var_high,sl_mean_obs_log_scale,-2,NA,0.6630903048104142
beta_numeric_scale,area_herb_log_scale,-2,NA,0
var_high,area_herb_log_scale,-2,NA,0.618658
beta_numeric_scale,mean_toxic_conc_scale,-2,NA,0.019234375545339404
var_high,mean_toxic_conc_scale,-2,NA,-0.12291612976907697
beta_numeric_scale,var_toxic_12_scale,-2,NA,0
var_high,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,NA,-2,NA,-0.15545944652488716
var_high,NA,-2,NA,1.1588321750413373
beta_numeric_scale,sl_mean_obs_log_scale,2,NA,-1.191327620946607
var_high,sl_mean_obs_log_scale,2,NA,-0.764268713576373
beta_numeric_scale,area_herb_log_scale,2,NA,0
var_high,area_herb_log_scale,2,NA,-0.261364
beta_numeric_scale,mean_toxic_conc_scale,2,NA,0.18240200894594508
var_high,mean_toxic_conc_scale,2,NA,0.3729454577808046
beta_numeric_scale,var_toxic_12_scale,2,NA,0
var_high,var_toxic_12_scale,2,NA,0
beta_numeric_scale,NA,2,NA,-1.0089256120006618
var_high,NA,2,NA,-0.6526872557955685
beta_numeric_scale,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,-0.17469382207022657
var_high,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0.6630903048104142
beta_numeric_scale,area_herb_log_scale,-2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,-2,ava_mean_toxin_scale,0.618658
beta_numeric_scale,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.019234375545339404
var_high,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,-0.12291612976907697
beta_numeric_scale,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,-2,ava_mean_toxin_scale,-0.15545944652488716
var_high,NA,-2,ava_mean_toxin_scale,1.1588321750413373
beta_numeric_scale,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-1.191327620946607
var_high,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-0.764268713576373
beta_numeric_scale,area_herb_log_scale,2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,2,ava_mean_toxin_scale,-0.261364
beta_numeric_scale,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.18240200894594508
var_high,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.3729454577808046
beta_numeric_scale,var_toxic_12_scale,2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,2,ava_mean_toxin_scale,-1.0089256120006618
var_high,NA,2,ava_mean_toxin_scale,-0.6526872557955685
beta_numeric_scale,sl_mean_obs_log_scale,-2,NA,1.5486101632650087
var_high,sl_mean_obs_log_scale,-2,NA,-0.8721966293358873
beta_numeric_scale,area_herb_log_scale,-2,NA,0
var_high,area_herb_log_scale,-2,NA,0.15338103
beta_numeric_scale,mean_toxic_conc_scale,-2,NA,-0.1986481359613238
var_high,mean_toxic_conc_scale,-2,NA,0.24231925051418568
beta_numeric_scale,var_toxic_12_scale,-2,NA,0
var_high,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,NA,-2,NA,1.3499620273036848
var_high,NA,-2,NA,-0.4764963488217018
beta_numeric_scale,sl_mean_obs_log_scale,2,NA,-2.3052545818068237
var_high,sl_mean_obs_log_scale,2,NA,-1.381192645818553
beta_numeric_scale,area_herb_log_scale,2,NA,0
var_high,area_herb_log_scale,2,NA,-0.08907433000000001
beta_numeric_scale,mean_toxic_conc_scale,2,NA,0.2737804012457057
var_high,mean_toxic_conc_scale,2,NA,0.3153457943458657
beta_numeric_scale,var_toxic_12_scale,2,NA,0
var_high,var_toxic_12_scale,2,NA,0
beta_numeric_scale,NA,2,NA,-2.0314741805611183
var_high,NA,2,NA,-1.1549211814726874
beta_numeric_scale,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,1.5486101632650087
var_high,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,-0.8721966293358873
beta_numeric_scale,area_herb_log_scale,-2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,-2,ava_mean_toxin_scale,0.15338103
beta_numeric_scale,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,-0.1986481359613238
var_high,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.24231925051418568
beta_numeric_scale,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,-2,ava_mean_toxin_scale,1.3499620273036848
var_high,NA,-2,ava_mean_toxin_scale,-0.4764963488217018
beta_numeric_scale,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-2.3052545818068237
var_high,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-1.381192645818553
beta_numeric_scale,area_herb_log_scale,2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,2,ava_mean_toxin_scale,-0.08907433000000001
beta_numeric_scale,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.2737804012457057
var_high,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.3153457943458657
beta_numeric_scale,var_toxic_12_scale,2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,2,ava_mean_toxin_scale,-2.0314741805611183
var_high,NA,2,ava_mean_toxin_scale,-1.1549211814726874
beta_numeric_scale,sl_mean_obs_log_scale,-2,NA,1.4372901760451153
var_high,sl_mean_obs_log_scale,-2,NA,0.49583730572578455
beta_numeric_scale,area_herb_log_scale,-2,NA,0
var_high,area_herb_log_scale,-2,NA,0.39027344
beta_numeric_scale,mean_toxic_conc_scale,-2,NA,-0.270975400176975
var_high,mean_toxic_conc_scale,-2,NA,0.09344856207524771
beta_numeric_scale,var_toxic_12_scale,-2,NA,0
var_high,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,NA,-2,NA,1.1663147758681403
var_high,NA,-2,NA,0.9795593078010324
beta_numeric_scale,sl_mean_obs_log_scale,2,NA,-2.9499494993598505
var_high,sl_mean_obs_log_scale,2,NA,-0.3005575978230315
beta_numeric_scale,area_herb_log_scale,2,NA,0
var_high,area_herb_log_scale,2,NA,-0.04041456
beta_numeric_scale,mean_toxic_conc_scale,2,NA,0.49604309674247865
var_high,mean_toxic_conc_scale,2,NA,0.3584861524212957
beta_numeric_scale,var_toxic_12_scale,2,NA,0
var_high,var_toxic_12_scale,2,NA,0
beta_numeric_scale,NA,2,NA,-2.4539064026173723
var_high,NA,2,NA,0.017513994598264304
beta_numeric_scale,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,1.4372901760451153
var_high,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0.49583730572578455
beta_numeric_scale,area_herb_log_scale,-2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,-2,ava_mean_toxin_scale,0.39027344
beta_numeric_scale,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,-0.270975400176975
var_high,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.09344856207524771
beta_numeric_scale,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,-2,ava_mean_toxin_scale,1.1663147758681403
var_high,NA,-2,ava_mean_toxin_scale,0.9795593078010324
beta_numeric_scale,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-2.9499494993598505
var_high,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-0.3005575978230315
beta_numeric_scale,area_herb_log_scale,2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,2,ava_mean_toxin_scale,-0.04041456
beta_numeric_scale,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.49604309674247865
var_high,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.3584861524212957
beta_numeric_scale,var_toxic_12_scale,2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,2,ava_mean_toxin_scale,-2.4539064026173723
var_high,NA,2,ava_mean_toxin_scale,0.017513994598264304
beta_numeric_scale,sl_mean_obs_log_scale,-2,NA,0.13885850172874722
var_high,sl_mean_obs_log_scale,-2,NA,-0.5322377682508951
beta_numeric_scale,area_herb_log_scale,-2,NA,0
var_high,area_herb_log_scale,-2,NA,0.90081145
beta_numeric_scale,mean_toxic_conc_scale,-2,NA,-0.03177087540300749
var_high,mean_toxic_conc_scale,-2,NA,0.05749535901525926
beta_numeric_scale,var_toxic_12_scale,-2,NA,0
var_high,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,NA,-2,NA,0.10708762632573973
var_high,NA,-2,NA,0.4260690407643643
beta_numeric_scale,sl_mean_obs_log_scale,2,NA,-0.9331310511376857
var_high,sl_mean_obs_log_scale,2,NA,-1.4039379626366453
beta_numeric_scale,area_herb_log_scale,2,NA,0
var_high,area_herb_log_scale,2,NA,-0.40525331
beta_numeric_scale,mean_toxic_conc_scale,2,NA,0.1463172654508093
var_high,mean_toxic_conc_scale,2,NA,0.5437525891347312
beta_numeric_scale,var_toxic_12_scale,2,NA,0
var_high,var_toxic_12_scale,2,NA,0
beta_numeric_scale,NA,2,NA,-0.7868137856868762
var_high,NA,2,NA,-1.265438683501914
beta_numeric_scale,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0.13885850172874722
var_high,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,-0.5322377682508951
beta_numeric_scale,area_herb_log_scale,-2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,-2,ava_mean_toxin_scale,0.90081145
beta_numeric_scale,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,-0.03177087540300749
var_high,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.05749535901525926
beta_numeric_scale,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,-2,ava_mean_toxin_scale,0.10708762632573973
var_high,NA,-2,ava_mean_toxin_scale,0.4260690407643643
beta_numeric_scale,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-0.9331310511376857
var_high,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-1.4039379626366453
beta_numeric_scale,area_herb_log_scale,2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,2,ava_mean_toxin_scale,-0.40525331
beta_numeric_scale,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.1463172654508093
var_high,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.5437525891347312
beta_numeric_scale,var_toxic_12_scale,2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,2,ava_mean_toxin_scale,-0.7868137856868762
var_high,NA,2,ava_mean_toxin_scale,-1.265438683501914
beta_numeric_scale,sl_mean_obs_log_scale,-2,NA,3.1017395167598574
var_high,sl_mean_obs_log_scale,-2,NA,-1.342556217226825
beta_numeric_scale,area_herb_log_scale,-2,NA,0
var_high,area_herb_log_scale,-2,NA,0.2681456
beta_numeric_scale,mean_toxic_conc_scale,-2,NA,-0.7073387559827575
var_high,mean_toxic_conc_scale,-2,NA,0.57151525852238
beta_numeric_scale,var_toxic_12_scale,-2,NA,0
var_high,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,NA,-2,NA,2.394400760777099
var_high,NA,-2,NA,-0.5028953587044451
beta_numeric_scale,sl_mean_obs_log_scale,2,NA,-2.7129986265195436
var_high,sl_mean_obs_log_scale,2,NA,-1.743977160904425
beta_numeric_scale,area_herb_log_scale,2,NA,0
var_high,area_herb_log_scale,2,NA,-0.10610244
beta_numeric_scale,mean_toxic_conc_scale,2,NA,0.5930185158941066
var_high,mean_toxic_conc_scale,2,NA,0.70192385165258
beta_numeric_scale,var_toxic_12_scale,2,NA,0
var_high,var_toxic_12_scale,2,NA,0
beta_numeric_scale,NA,2,NA,-2.119980110625437
var_high,NA,2,NA,-1.1481557492518455
beta_numeric_scale,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,3.1017395167598574
var_high,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,-1.342556217226825
beta_numeric_scale,area_herb_log_scale,-2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,-2,ava_mean_toxin_scale,0.2681456
beta_numeric_scale,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,-0.7073387559827575
var_high,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.57151525852238
beta_numeric_scale,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,-2,ava_mean_toxin_scale,2.394400760777099
var_high,NA,-2,ava_mean_toxin_scale,-0.5028953587044451
beta_numeric_scale,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-2.7129986265195436
var_high,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-1.743977160904425
beta_numeric_scale,area_herb_log_scale,2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,2,ava_mean_toxin_scale,-0.10610244
beta_numeric_scale,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.5930185158941066
var_high,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.70192385165258
beta_numeric_scale,var_toxic_12_scale,2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,2,ava_mean_toxin_scale,-2.119980110625437
var_high,NA,2,ava_mean_toxin_scale,-1.1481557492518455
beta_numeric_scale,sl_mean_obs_log_scale,-2,NA,0.015398323874016753
var_high,sl_mean_obs_log_scale,-2,NA,-0.6846769991469318
beta_numeric_scale,area_herb_log_scale,-2,NA,0
var_high,area_herb_log_scale,-2,NA,0.47075417
beta_numeric_scale,mean_toxic_conc_scale,-2,NA,-0.0033731689232263514
var_high,mean_toxic_conc_scale,-2,NA,0.1665092028901808
beta_numeric_scale,var_toxic_12_scale,-2,NA,0
var_high,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,NA,-2,NA,0.012025154950790401
var_high,NA,-2,NA,-0.047413626256750635
beta_numeric_scale,sl_mean_obs_log_scale,2,NA,-0.9663817070904317
var_high,sl_mean_obs_log_scale,2,NA,-1.488932281992452
beta_numeric_scale,area_herb_log_scale,2,NA,0
var_high,area_herb_log_scale,2,NA,-0.18416855000000001
beta_numeric_scale,mean_toxic_conc_scale,2,NA,0.08266912947446363
var_high,mean_toxic_conc_scale,2,NA,0.2232437386940208
beta_numeric_scale,var_toxic_12_scale,2,NA,0
var_high,var_toxic_12_scale,2,NA,0
beta_numeric_scale,NA,2,NA,-0.883712577615968
var_high,NA,2,NA,-1.4498570932984312
beta_numeric_scale,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0.015398323874016753
var_high,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,-0.6846769991469318
beta_numeric_scale,area_herb_log_scale,-2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,-2,ava_mean_toxin_scale,0.47075417
beta_numeric_scale,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,-0.0033731689232263514
var_high,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.1665092028901808
beta_numeric_scale,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,-2,ava_mean_toxin_scale,0.012025154950790401
var_high,NA,-2,ava_mean_toxin_scale,-0.047413626256750635
beta_numeric_scale,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-0.9663817070904317
var_high,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-1.488932281992452
beta_numeric_scale,area_herb_log_scale,2,ava_mean_toxin_scale,0
