var,target,only,cat_size,exclude,val
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,2,NA,0.09084160360225901
var_high,RGR_scale,sl_mean_obs_log_scale,2,NA,0.289833056997516
beta_numeric_scale,RGR_scale,area_herb_log_scale,2,NA,0.04194208002440356
var_high,RGR_scale,area_herb_log_scale,2,NA,0.13381755482358126
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,2,NA,0.039350086400123135
var_high,RGR_scale,mean_toxic_conc_scale,2,NA,0.21935148208196414
beta_numeric_scale,RGR_scale,var_toxic_12_scale,2,NA,0
var_high,RGR_scale,var_toxic_12_scale,2,NA,0
beta_numeric_scale,RGR_scale,select_scale,2,NA,-0.03127138081419151
var_high,RGR_scale,select_scale,2,NA,-0.1260251036142512
beta_numeric_scale,sl_mean_obs_log_scale,NA,-2,NA,0.5101675381029119
var_high,sl_mean_obs_log_scale,NA,-2,NA,-1.3756943637469758
beta_numeric_scale,area_herb_log_scale,NA,-2,NA,-0.17146730955638873
var_high,area_herb_log_scale,NA,-2,NA,0.4623708756553586
beta_numeric_scale,mean_toxic_conc_scale,NA,-2,NA,-0.14419986881344
var_high,mean_toxic_conc_scale,NA,-2,NA,-0.58771460919088
beta_numeric_scale,var_toxic_12_scale,NA,-2,NA,0.02088724048213708
var_high,var_toxic_12_scale,NA,-2,NA,1.6288817806820046
beta_numeric_scale,select_scale,NA,-2,NA,-0.056604640000000005
var_high,select_scale,NA,-2,NA,-0.48011828
beta_numeric_scale,sl_mean_obs_log_scale,NA,2,NA,-0.2762684947901438
var_high,sl_mean_obs_log_scale,NA,2,NA,-0.881443515106976
beta_numeric_scale,area_herb_log_scale,NA,2,NA,0.09285384109896738
var_high,area_herb_log_scale,NA,2,NA,0.2962531654274546
beta_numeric_scale,mean_toxic_conc_scale,NA,2,NA,-0.19547981321472002
var_high,mean_toxic_conc_scale,NA,2,NA,-1.0896745259908802
beta_numeric_scale,var_toxic_12_scale,NA,2,NA,-0.28315396971045287
var_high,var_toxic_12_scale,NA,2,NA,1.3941839125513806
beta_numeric_scale,select_scale,NA,2,NA,0.19579968
var_high,select_scale,NA,2,NA,0.78908172
sl_mean_obs_log_scale,RGR_scale,NA,-2,NA,-0.32881636999999997
area_herb_log_scale,RGR_scale,NA,-2,NA,0.4517
mean_toxic_conc_scale,RGR_scale,NA,-2,NA,-0.2013
var_toxic_12_scale,RGR_scale,NA,-2,NA,0
select_scale,RGR_scale,NA,-2,NA,-0.15971109255230398
sl_mean_obs_log_scale,RGR_scale,NA,2,NA,-0.32881636999999997
area_herb_log_scale,RGR_scale,NA,2,NA,0.4517
mean_toxic_conc_scale,RGR_scale,NA,2,NA,-0.2013
var_toxic_12_scale,RGR_scale,NA,2,NA,0
select_scale,RGR_scale,NA,2,NA,-0.15971109255230398
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,-2,NA,-0.03337322526124661
var_high,RGR_scale,sl_mean_obs_log_scale,-2,NA,0.04345323567679753
beta_numeric_scale,RGR_scale,area_herb_log_scale,-2,NA,-0.016594957174410525
var_high,RGR_scale,area_herb_log_scale,-2,NA,0.021607278874043317
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,-2,NA,0.019710840844118057
var_high,RGR_scale,mean_toxic_conc_scale,-2,NA,-0.03462421054544489
beta_numeric_scale,RGR_scale,var_toxic_12_scale,-2,NA,0
var_high,RGR_scale,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,RGR_scale,select_scale,-2,NA,7.521879377694336e-4
var_high,RGR_scale,select_scale,-2,NA,1.1698946014176699e-4
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,2,NA,0.028289273211749195
var_high,RGR_scale,sl_mean_obs_log_scale,2,NA,0.03724755554126638
beta_numeric_scale,RGR_scale,area_herb_log_scale,2,NA,0.014066943598325766
var_high,RGR_scale,area_herb_log_scale,2,NA,0.018521481943088176
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,2,NA,0.03214037204484889
var_high,RGR_scale,mean_toxic_conc_scale,2,NA,0.20595728595759513
beta_numeric_scale,RGR_scale,var_toxic_12_scale,2,NA,0
var_high,RGR_scale,var_toxic_12_scale,2,NA,0
beta_numeric_scale,RGR_scale,select_scale,2,NA,-0.001203202015611331
var_high,RGR_scale,select_scale,2,NA,-0.002149754172349377
beta_numeric_scale,sl_mean_obs_log_scale,NA,-2,NA,0.555571790954837
var_high,sl_mean_obs_log_scale,NA,-2,NA,-0.7233760530713312
beta_numeric_scale,area_herb_log_scale,NA,-2,NA,-0.060279539318599806
var_high,area_herb_log_scale,NA,-2,NA,0.07848630175823944
beta_numeric_scale,mean_toxic_conc_scale,NA,-2,NA,-0.159990591267192
var_high,mean_toxic_conc_scale,NA,-2,NA,0.281040670011728
beta_numeric_scale,var_toxic_12_scale,NA,-2,NA,-0.03606516172530361
var_high,var_toxic_12_scale,NA,-2,NA,1.7670419097753056
beta_numeric_scale,select_scale,NA,-2,NA,-0.15463574000000002
var_high,select_scale,NA,-2,NA,-0.02405083999999999
beta_numeric_scale,sl_mean_obs_log_scale,NA,2,NA,-0.4709380666696497
var_high,sl_mean_obs_log_scale,NA,2,NA,-0.6200686621913313
beta_numeric_scale,area_herb_log_scale,NA,2,NA,0.05109678023365698
var_high,area_herb_log_scale,NA,2,NA,0.06727744984775944
beta_numeric_scale,mean_toxic_conc_scale,NA,2,NA,-0.260879643221176
var_high,mean_toxic_conc_scale,NA,2,NA,-1.671731217188272
beta_numeric_scale,var_toxic_12_scale,NA,2,NA,-0.31534216181994784
var_high,var_toxic_12_scale,NA,2,NA,1.7097090322965858
beta_numeric_scale,select_scale,NA,2,NA,0.24735578000000003
var_high,select_scale,NA,2,NA,0.44194916000000006
sl_mean_obs_log_scale,RGR_scale,NA,-2,NA,-0.06007005
area_herb_log_scale,RGR_scale,NA,-2,NA,0.2753
mean_toxic_conc_scale,RGR_scale,NA,-2,NA,-0.1232
var_toxic_12_scale,RGR_scale,NA,-2,NA,0
select_scale,RGR_scale,NA,-2,NA,-0.0048642567220839985
sl_mean_obs_log_scale,RGR_scale,NA,2,NA,-0.06007005
area_herb_log_scale,RGR_scale,NA,2,NA,0.2753
mean_toxic_conc_scale,RGR_scale,NA,2,NA,-0.1232
var_toxic_12_scale,RGR_scale,NA,2,NA,0
select_scale,RGR_scale,NA,2,NA,-0.0048642567220839985
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,-2,NA,-0.44378023602134087
var_high,RGR_scale,sl_mean_obs_log_scale,-2,NA,0.41984943785081585
beta_numeric_scale,RGR_scale,area_herb_log_scale,-2,NA,-0.06433046345074209
var_high,RGR_scale,area_herb_log_scale,-2,NA,0.06086145061038202
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,-2,NA,0.0020530656960362492
var_high,RGR_scale,mean_toxic_conc_scale,-2,NA,0.05579830557637874
beta_numeric_scale,RGR_scale,var_toxic_12_scale,-2,NA,0
var_high,RGR_scale,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,RGR_scale,select_scale,-2,NA,0.042519631085010695
var_high,RGR_scale,select_scale,-2,NA,0.020068567102009223
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,2,NA,0.32018658627230995
var_high,RGR_scale,sl_mean_obs_log_scale,2,NA,0.3212208544712574
beta_numeric_scale,RGR_scale,area_herb_log_scale,2,NA,0.046414305581238616
var_high,RGR_scale,area_herb_log_scale,2,NA,0.046564233286823624
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,2,NA,0.06998665437886625
var_high,RGR_scale,mean_toxic_conc_scale,2,NA,0.3919522781763788
beta_numeric_scale,RGR_scale,var_toxic_12_scale,2,NA,0
var_high,RGR_scale,var_toxic_12_scale,2,NA,0
beta_numeric_scale,RGR_scale,select_scale,2,NA,-0.053699336121443175
var_high,RGR_scale,select_scale,2,NA,-0.12434204367754918
beta_numeric_scale,sl_mean_obs_log_scale,NA,-2,NA,1.3048479111781253
var_high,sl_mean_obs_log_scale,NA,-2,NA,-1.234484137690625
beta_numeric_scale,area_herb_log_scale,NA,-2,NA,-0.21386457264209469
var_high,area_herb_log_scale,NA,-2,NA,0.20233195016749345
beta_numeric_scale,mean_toxic_conc_scale,NA,-2,NA,-0.0075341860404999905
var_high,mean_toxic_conc_scale,NA,-2,NA,-0.2047644241335
beta_numeric_scale,var_toxic_12_scale,NA,-2,NA,0.09089371988676814
var_high,var_toxic_12_scale,NA,-2,NA,1.3137222617744393
beta_numeric_scale,select_scale,NA,-2,NA,-0.33777657
var_high,select_scale,NA,-2,NA,-0.15942499
beta_numeric_scale,sl_mean_obs_log_scale,NA,2,NA,-0.9414452568468754
var_high,sl_mean_obs_log_scale,NA,2,NA,-0.944486317690625
beta_numeric_scale,area_herb_log_scale,NA,2,NA,0.15430287759720285
var_high,area_herb_log_scale,NA,2,NA,0.15480130746949347
beta_numeric_scale,mean_toxic_conc_scale,NA,2,NA,-0.2568317591885
var_high,mean_toxic_conc_scale,NA,2,NA,-1.4383569841334998
