b,rss,scale,sl,ava_toxic,on_toxic
-5,0,30,16.443161896400273,0.49954953596579543,0.4988
0,0.5,30,15.973984379859843,0.32174623632278565,0.2873
5,0.5,30,16.21866109423354,0.4075680319942869,0.3947
-5,0.5,30,16.324339935008517,0.3510213597199908,0.3041
5,1,30,16.39520931495083,0.10229143320054974,0.0712
0,1,30,15.827527033724218,0.20866850838688575,0.1399
-5,1,30,15.398835639017465,0.21837331398583776,0.1389
5,0,100,51.0315231891225,0.47809002172687687,0.4784
0,0,100,50.9442202231922,0.500037083068725,0.4988
-5,0,100,52.033620852616906,0.49698645737057995,0.499
5,0.5,100,49.37882644782724,0.32462733864682347,0.2856
0,0.5,100,49.131739947972505,0.38647000032945467,0.3115
-5,0.5,100,49.6999824227124,0.4056238342434651,0.3179
5,1,100,45.300527429485655,0.2356438020930329,0.1493
0,1,100,44.733274008768134,0.3027476741725098,0.1636
-5,1,100,46.42183478334235,0.34109882081754417,0.1964
5,0,10,5.700496242662356,0.43592022345929043,0.43620000000000003
0,0,10,5.713138965889382,0.4998982118904655,0.4979
-5,0,10,5.54120027741713,0.39372256881891377,0.3909
5,0.5,10,5.715504010843401,0.2895798787878788,0.2818
0,0.5,10,5.717871232545072,0.23535403564324375,0.221
-5,0.5,10,5.57424796767556,0.260552821939501,0.241
0,1,10,5.532006354334599,0.16564210101010102,0.1446
5,1,10,5.704106699548185,0.04256107670698933,0.034999999999999996
-5,1,10,5.3198490731986094,0.12712374182019306,0.0961
0,0,30,16.552713908548565,0.452973866616033,0.447
5,0,30,16.73735323707746,0.4677595858099062,0.4682
-5,0,30,16.94658048383801,0.5183329160713745,0.5189
5,0.5,30,16.3581863752506,0.2856110999227876,0.274
0,0.5,30,16.216788852459253,0.3165379700429959,0.2767
-5,0.5,30,16.3725577107445,0.37277414720238344,0.3286
5,1,30,15.85947672490269,0.12199098752793022,0.0887
0,1,30,15.651910975256374,0.16917873419772353,0.1171
-5,1,30,15.400503259077476,0.20779742889806826,0.1298
5,0,100,51.237452278244135,0.5069939562770982,0.5053
0,0,100,49.50385316460881,0.4909265046766842,0.4891
-5,0,100,50.59516373980073,0.48001318029051515,0.4727
